labID,87Sr/86Sr,StdErr,SRM987 87Sr/86Sr,SRM987 StdDev,SRM987 long term,corr. 87Sr/86Sr,comb. Err,Position
2122_401/402,0.71067,0.00012,0.7102291,6.36E-05,0.710295,0.71074,0.000132,1.5
2122_403,0.71063,0.00000,0.7102291,6.36E-05,0.710295,0.71069,0.000064,3
2122_404,0.71108,0.00000,0.7102291,6.36E-05,0.710295,0.71115,0.000064,4
2122_405,0.71155,0.00000,0.7102291,6.36E-05,0.710295,0.71162,0.000064,5
2122_406,0.71193,0.00000,0.7102291,6.36E-05,0.710295,0.71199,0.000064,6
2122-407,0.71187,0.00000,0.7102291,6.36E-05,0.710295,0.71193,0.000064,7
2122-408,0.71145,0.00000,0.7102291,6.36E-05,0.710295,0.71151,0.000064,8
2122-409,0.71101,0.00000,0.7102291,6.36E-05,0.710295,0.71108,0.000064,9
2122-410,0.71124,0.00000,0.7102291,6.36E-05,0.710295,0.71131,0.000064,10
2122-411,0.71093,0.00000,0.7102291,6.36E-05,0.710295,0.71099,0.000064,11
2122-412,0.71068,0.00000,0.7102291,6.36E-05,0.710295,0.71074,0.000064,12
2122-413,0.71064,0.00001,0.7102291,6.36E-05,0.710295,0.71071,0.000064,13
2122-414,0.71072,0.00000,0.7102291,6.36E-05,0.710295,0.71078,0.000064,14
2122-415,0.71106,0.00001,0.7102291,6.36E-05,0.710295,0.71112,0.000064,15
2122-416,0.71110,0.00001,0.7102291,6.36E-05,0.710295,0.71117,0.000064,16
2122-417,0.71088,0.00000,0.7102291,6.36E-05,0.710295,0.71095,0.000064,17
2122-418,0.71053,0.00001,0.7102291,6.36E-05,0.710295,0.71060,0.000064,18
2122-419,0.71043,0.00001,0.7102291,6.36E-05,0.710295,0.71050,0.000064,19
2122-420,0.71019,0.00001,0.7102291,6.36E-05,0.710295,0.71025,0.000064,20
2122-421,0.70980,0.00000,0.7102291,6.36E-05,0.710295,0.70987,0.000064,21
2122-501 A&B,0.71014,0.00000,0.7103110,1.00E-05,0.710295,0.71013,0.000011,22
2122-502,0.71022,0.00000,0.7103110,1.00E-05,0.710295,0.71020,0.000011,23
2122-503,0.70973,0.00000,0.7103110,1.00E-05,0.710295,0.70971,0.000010,24
2122-504,0.70981,0.00000,0.7103110,1.00E-05,0.710295,0.70979,0.000011,25
2122-505,0.70967,0.00000,0.7103110,1.00E-05,0.710295,0.70965,0.000011,26
2122-506,0.70949,0.00000,0.7103110,1.00E-05,0.710295,0.70948,0.000011,27
2122-507,0.70950,0.00000,0.7103110,1.00E-05,0.710295,0.70949,0.000011,28
2122-508,0.70979,0.00000,0.7103110,1.00E-05,0.710295,0.70977,0.000011,29
2122-509,0.70895,0.00000,0.7103110,1.00E-05,0.710295,0.70894,0.000011,30
2122-601,,,0.7103001,9.92E-06,0.710295,,,31
2122-602,0.70654,0.00001,0.7103001,9.92E-06,0.710295,0.70653,0.000012,32
2122-603,0.70629,0.00001,0.7103001,9.92E-06,0.710295,0.70629,0.000012,33
2122-604,0.70633,0.00001,0.7103001,9.92E-06,0.710295,0.70632,0.000016,34
2122-605,0.70644,0.00001,0.7103001,9.92E-06,0.710295,0.70643,0.000013,35
2122-606,0.70647,0.00001,0.7103001,9.92E-06,0.710295,0.70647,0.000012,36
2122-607,0.70657,0.00001,0.7103001,9.92E-06,0.710295,0.70656,0.000012,37
2122-608,0.70706,0.00001,0.7103001,9.92E-06,0.710295,0.70705,0.000012,38
2122-609,0.70712,0.00001,0.7103001,9.92E-06,0.710295,0.70711,0.000012,39
2122-610,0.70694,0.00001,0.7103001,9.92E-06,0.710295,0.70693,0.000012,40
2122-611,0.70675,0.00001,0.7103001,9.92E-06,0.710295,0.70675,0.000012,41
2122-612,0.70692,0.00001,0.7103001,9.92E-06,0.710295,0.70691,0.000012,42
